Journal Profile: JAMA-JOURNAL OF THE AMERICAN MEDICAL ASSOCIATION,,,,,,,,,,,,,
Year,Total Cites,Journal Impact Factor,Impact Factor without Journal Self Cites,5-Year Impact Factor,Immediacy Index,Citable Items,Cited Half-Life,Citing Half-life,Eigenfactor Score,Article Influence Score,% Articles in Citable Items,Normalized Eigenfactor,Average JIF Percentile
2018,"156,350",51.273,50.135,46.312,11.571,212,10.3,4.9,0.30081,21.339,69.81,35.72765,98.438
2017,"148,775",47.661,46.641,42.464,10.188,208,10.6,5.0,0.30005,19.967,86.06,35.04830,98.387
2016,"141,015",44.405,43.312,38.209,12.460,213,>10.0,5.8,0.28035,17.752,76.06,32.18951,98.387
2015,"129,909",37.684,36.857,33.569,9.497,197,>10.0,5.5,0.27421,15.990,87.31,31.25430,98.387
2014,"126,479",35.289,34.445,31.026,10.189,228,>10.0,5.4,0.26099,14.418,80.26,29.23059,98.377
2013,"124,822",30.387,29.632,29.914,8.462,221,9.9,5.5,0.25083,13.160,90.95,27.64655,98.397
2012,"121,504",29.978,29.357,29.273,8.578,232,9.4,5.3,0.26138,13.116,94.40,Not Available,98.387
2011,"117,668",30.026,29.368,29.684,6.927,220,8.8,5.0,0.28566,13.111,90.00,Not Available,98.387
2010,"117,497",30.011,29.213,29.310,7.227,233,8.3,4.8,0.30839,12.439,92.70,Not Available,98.366
2009,"117,090",28.899,28.008,27.753,7.038,234,7.9,5.1,0.33160,11.421,91.45,Not Available,98.120
2008,"114,250",31.718,31.022,27.957,7.556,225,7.2,4.8,0.38098,11.148,91.11,Not Available,98.598
2007,"103,620",25.547,24.830,25.793,7.965,229,6.8,4.7,0.41748,10.644,84.72,Not Available,97.500
2006,"100,317",23.175,22.425,Not Available,7.869,267,6.7,4.6,Not Available,Not Available,88.76,Not Available,97.573
2005,"95,715",23.494,22.818,Not Available,5.082,380,6.5,4.8,Not Available,Not Available,89.21,Not Available,97.619
2004,"88,864",24.831,24.119,Not Available,5.499,351,6.3,4.8,Not Available,Not Available,90.31,Not Available,98.544
2003,"82,700",21.455,20.496,Not Available,6.048,377,6.3,4.7,Not Available,Not Available,91.51,Not Available,98.529
2002,"75,539",16.586,15.886,Not Available,5.679,383,6.5,4.7,Not Available,Not Available,87.21,Not Available,98.598
2001,"71,918",17.569,16.875,Not Available,4.437,389,6.5,4.4,Not Available,Not Available,93.06,Not Available,98.661
2000,"69,197",15.402,14.632,Not Available,4.523,377,6.4,4.4,Not Available,Not Available,94.96,Not Available,98.571
1999,"64,762",11.435,10.655,Not Available,3.728,364,6.5,4.5,Not Available,Not Available,95.05,Not Available,98.636
1998,"61,510",9.522,8.850,Not Available,3.522,494,6.4,4.2,Not Available,Not Available,93.72,Not Available,96.729
1997,"53,250",9.258,8.622,Not Available,2.702,573,6.4,4.5,Not Available,Not Available,95.46,Not Available,96.500
Copyright Â© 2019 Clarivate Analytics,,,,,,,,,,,,,
"By exporting the selected data, you agree to the data usage policy set forth in the Terms of Use",,,,,,,,,,,,,
